Meter Label,Acct #,Zone,Type,Parent Meter,Label,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25,Feb-25,Mar-25
Z3-45(4A) (Building),4300026,Zone_03_(A),Residential (Apart),D-45 Building Bulk Meter,L3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Z3-50(5) (Building),4300027,Zone_03_(A),Residential (Apart),D-50 Building Bulk Meter,L3,2,0,0,1,0,1,23,10,9,8,12,8,9,10,22
Z3-50(6) (Building),4300028,Zone_03_(A),Residential (Apart),D-50 Building Bulk Meter,L3,6,14,16,15,16,20,1,12,17,25,21,23,21,20,18
Z3-52(4A) (Building),4300029,Zone_03_(B),Residential (Apart),D-52 Building Bulk Meter,L3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Z3-44(1A) (Building),4300030,Zone_03_(A),Residential (Apart),D-44 Building Bulk Meter,L3,0,0,20,25,23,7,0,0,2,9,8,5,11,11,10
Z3-44(1B) (Building),4300031,Zone_03_(A),Residential (Apart),D-44 Building Bulk Meter,L3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Z3-44(2A) (Building),4300032,Zone_03_(A),Residential (Apart),D-44 Building Bulk Meter,L3,4,2,15,20,21,1,5,2,3,7,7,2,9,3,5
Z3-44(2B) (Building),4300033,Zone_03_(A),Residential (Apart),D-44 Building Bulk Meter,L3,7,3,8,3,4,2,2,4,5,9,5,8,7,7,7
Z3-44(5) (Building),4300034,Zone_03_(A),Residential (Apart),D-44 Building Bulk Meter,L3,148,135,126,99,15,25,61,132,115,249,208,135,118,139,38
Z3-44(6) (Building),4300035,Zone_03_(A),Residential (Apart),D-44 Building Bulk Meter,L3,36,20,19,16,13,9,7,9,17,39,33,33,34,37,31
Z3-75(1) (Building),4300036,Zone_03_(A),Residential (Apart),D-75 Building Bulk Meter,L3,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0
Z3-75(3) (Building),4300037,Zone_03_(A),Residential (Apart),D-75 Building Bulk Meter,L3,4,0,0,0,0,2,0,0,0,3,1,4,2,7,0
Z3-23 (Villa),4300038,Zone_03_(A),Residential (Villa),ZONE 3A (BULK ZONE 3A),L3,29,16,18,18,15,32,24,28,25,37,2,2,0,0,0
Z3-47(3) (Building),4300039,Zone_03_(A),Residential (Apart),D-47  Building Bulk Meter,L3,14,15,14,14,19,14,16,19,13,21,17,18,18,19,17
Z3-48(3) (Building),4300040,Zone_03_(A),Residential (Apart),D-48 Building Bulk Meter,L3,8,8,7,8,7,3,4,8,7,10,10,3,3,5,4
Z3-48(6) (Building),4300041,Zone_03_(A),Residential (Apart),D-48 Building Bulk Meter,L3,1,0,0,0,0,3,5,10,0,10,1,0,0,0,0
Z3-52(3A) (Building),4300042,Zone_03_(B),Residential (Apart),D-52 Building Bulk Meter,L3,1,1,1,0,1,0,1,2,8,9,8,6,6,9,5
Z3-46(4A) (Building),4300043,Zone_03_(A),Residential (Apart),D-46 Building Bulk Meter,L3,1,1,1,1,1,1,0,0,1,3,1,0,4,1,0
Z3-41 (Villa),4300044,Zone_03_(A),Residential (Villa),ZONE 3A (BULK ZONE 3A),L3,50,38,26,20,90,66,128,192,58,53,44,22,13,18,34
Z3-74(5) (Building),4300045,Zone_03_(A),Residential (Apart),D-74 Building Bulk Meter,L3,10,2,5,5,7,6,5,7,5,4,5,7,13,7,12
Z3-74(6) (Building),4300046,Zone_03_(A),Residential (Apart),D-74 Building Bulk Meter,L3,32,12,6,13,9,2,3,0,2,12,6,6,12,4,4
Z3-50(3) (Building),4300047,Zone_03_(A),Residential (Apart),D-50 Building Bulk Meter,L3,2,8,7,6,3,4,4,5,5,9,9,7,8,13,6
Z3-48(5) (Building),4300048,Zone_03_(A),Residential (Apart),D-48 Building Bulk Meter,L3,0,0,0,0,0,0,2,4,2,4,33,16,2,1,1
Z3-37 (Villa),4300049,Zone_03_(A),Residential (Villa),ZONE 3A (BULK ZONE 3A),L3,1,2,0,1,0,0,5,13,0,1,1,3,26,15,18
Z3-43 (Villa),4300050,Zone_03_(A),Residential (Villa),ZONE 3A (BULK ZONE 3A),L3,79,67,50,62,72,75,49,83,76,91,77,70,70,68,46
Z3-47(6) (Building),4300051,Zone_03_(A),Residential (Apart),D-47  Building Bulk Meter,L3,18,19,27,15,10,12,6,6,16,13,23,27,29,14,16
Z3-31 (Villa),4300052,Zone_03_(A),Residential (Villa),ZONE 3A (BULK ZONE 3A),L3,115,105,86,81,140,135,151,258,222,37,164,176,165,133,30
Z3-49(5) (Building),4300053,Zone_03_(A),Residential (Apart),D-49 Building Bulk Meter,L3,3,6,1,1,2,0,0,2,1,10,0,0,0,5,0
Z3-62(6) (Building),4300054,Zone_03_(B),Residential (Apart),D-62 Building Bulk Meter,L3,12,14,15,14,3,0,0,0,0,0,0,1,39,19,17
Z3-75(5) (Building),4300055,Zone_03_(A),Residential (Apart),D-75 Building Bulk Meter,L3,0,0,11,8,9,11,8,10,12,27,22,14,16,12,12
Z3-52(5) (Building),4300056,Zone_03_(B),Residential (Apart),D-52 Building Bulk Meter,L3,13,5,6,4,7,9,6,5,6,4,3,4,5,3,4
Z3-15 (Villa),4300057,Zone_03_(B),Residential (Villa),ZONE 3B (BULK ZONE 3B),L3,53,39,32,31,34,45,43,31,37,45,36,36,40,41,35
Z5-13,4300058,Zone_05,Residential (Villa),ZONE 5 (Bulk Zone 5),L3,78,73,9,46,17,83,40,80,61,56,68,85,72,106,89
Z5-14,4300059,Zone_05,Residential (Villa),ZONE 5 (Bulk Zone 5),L3,68,56,52,250,128,100,12,20,22,22,62,72,71,93,77
Z3-14 (Villa),4300060,Zone_03_(B),Residential (Villa),ZONE 3B (BULK ZONE 3B),L3,55,45,42,57,66,27,31,11,16,27,30,173,166,102,30
Z3-49(6) (Building),4300061,Zone_03_(A),Residential (Apart),D-49 Building Bulk Meter,L3,34,26,16,15,16,34,16,4,10,36,25,26,25,22,21
Z3-62(1) (Building),4300062,Zone_03_(B),Residential (Apart),D-62 Building Bulk Meter,L3,0,3,0,0,4,19,0,0,1,9,2,1,4,1,15
Z3-75(6) (Building),4300063,Zone_03_(A),Residential (Apart),D-75 Building Bulk Meter,L3,52,39,21,17,24,24,20,24,19,24,40,34,35,32,35
Z3-53(4B) (Building),4300064,Zone_03_(B),Residential (Apart),D-53 Building Bulk Meter,L3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Z3-60(1B) (Building),4300065,Zone_03_(B),Residential (Apart),D-60 Building Bulk Meter,L3,12,9,10,8,9,7,11,10,10,15,12,14,14,14,9
Z3-59(4B) (Building),4300066,Zone_03_(B),Residential (Apart),D-59 Building Bulk Meter,L3,10,8,9,10,8,8,8,8,1,1,0,1,3,3,0
Z3-60(3B) (Building),4300067,Zone_03_(B),Residential (Apart),D-60 Building Bulk Meter,L3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Z3-60(4B) (Building),4300068,Zone_03_(B),Residential (Apart),D-60 Building Bulk Meter,L3,7,4,4,3,6,5,5,4,4,4,0,0,1,3,5
Z3-52(2A) (Building),4300069,Zone_03_(B),Residential (Apart),D-52 Building Bulk Meter,L3,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0
Z3-58(1B) (Building),4300070,Zone_03_(B),Residential (Apart),D-58 Building Bulk Meter,L3,8,9,1,1,0,2,2,1,2,2,1,1,2,2,1
Z3-55(1B) (Building),4300071,Zone_03_(B),Residential (Apart),D-55 Building Bulk Meter,L3,2,2,3,0,0,0,0,1,0,0,3,4,3,4,3
Z3-60(2B) (Building),4300072,Zone_03_(B),Residential (Apart),D-60 Building Bulk Meter,L3,1,2,0,1,0,1,0,0,0,1,2,4,3,0,0
Z3-59(3A) (Building),4300073,Zone_03_(B),Residential (Apart),D-59 Building Bulk Meter,L3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Z3-53(6) (Building),4300074,Zone_03_(B),Residential (Apart),D-53 Building Bulk Meter,L3,0,0,3,1,0,0,0,0,1,1,0,0,0,0,0
Z3-35 (Villa),4300075,Zone_03_(A),Residential (Villa),ZONE 3A (BULK ZONE 3A),L3,82,78,77,67,91,54,58,70,78,92,83,69,65,61,52
Z3-12 (Villa),4300076,Zone_03_(B),Residential (Villa),ZONE 3B (BULK ZONE 3B),L3,52,95,258,55,67,111,93,120,118,178,55,67,73,59,54
Z3-11 (Villa),4300077,Zone_03_(B),Residential (Villa),ZONE 3B (BULK ZONE 3B),L3,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0
Z3-4 (Villa),4300078,Zone_03_(B),Residential (Villa),ZONE 3B (BULK ZONE 3B),L3,105,90,96,106,126,122,156,150,97,171,56,111,90,55,22
Z3-40 (Villa),4300079,Zone_03_(A),Residential (Villa),ZONE 3A (BULK ZONE 3A),L3,26,18,25,19,26,19,12,10,12,36,20,20,18,23,37
Z3-17 (Villa),4300080,Zone_03_(B),Residential (Villa),ZONE 3B (BULK ZONE 3B),L3,11,5,8,5,14,19,18,22,14,24,17,20,19,8,5
Z3-30 (Villa),4300081,Zone_03_(A),Residential (Villa),ZONE 3A (BULK ZONE 3A),L3,16,14,19,26,9,8,8,0,0,1,1,0,0,0,4
Z3-33 (Villa),4300082,Zone_03_(A),Residential (Villa),ZONE 3A (BULK ZONE 3A),L3,78,32,43,36,52,68,60,60,47,76,52,45,45,45,40
Z3-18 (Villa),4300083,Zone_03_(B),Residential (Villa),ZONE 3B (BULK ZONE 3B),L3,62,43,36,56,47,63,59,67,46,58,42,31,36,36,33
Z3-36 (Villa),4300084,Zone_03_(A),Residential (Villa),ZONE 3A (BULK ZONE 3A),L3,13,11,22,44,85,68,61,58,72,102,115,93,81,83,69
Z3-32 (Villa),4300085,Zone_03_(A),Residential (Villa),ZONE 3A (BULK ZONE 3A),L3,19,25,32,29,13,0,30,31,38,57,44,30,38,39,33
Z3-39 (Villa),4300086,Zone_03_(A),Residential (Villa),ZONE 3A (BULK ZONE 3A),L3,67,33,35,40,27,51,24,38,35,47,34,37,39,36,29
Z3-34 (Villa),4300087,Zone_03_(A),Residential (Villa),ZONE 3A (BULK ZONE 3A),L3,1,12,9,30,14,0,0,0,0,0,0,31,0,0,0
Z3-3 (Villa),4300088,Zone_03_(B),Residential (Villa),ZONE 3B (BULK ZONE 3B),L3,78,66,80,91,84,84,83,61,67,78,69,86,66,59,63
Z3-27 (Villa),4300089,Zone_03_(A),Residential (Villa),ZONE 3A (BULK ZONE 3A),L3,0,0,0,0,8,0,5,0,4,0,8,59,15,32,55
Z3-7 (Villa),4300090,Zone_03_(B),Residential (Villa),ZONE 3B (BULK ZONE 3B),L3,27,23,14,21,30,46,23,43,24,50,34,31,38,45,46
Z3-24 (Villa),4300091,Zone_03_(A),Residential (Villa),ZONE 3A (BULK ZONE 3A),L3,10,8,10,7,15,7,6,7,4,5,4,15,18,39,78
Z3-10 (Villa),4300092,Zone_03_(B),Residential (Villa),ZONE 3B (BULK ZONE 3B),L3,37,32,31,35,47,34,40,56,41,60,33,37,78,81,62
Z3-25 (Villa),4300093,Zone_03_(A),Residential (Villa),ZONE 3A (BULK ZONE 3A),L3,15,12,9,9,25,11,15,6,0,0,0,0,3,0,0
Z3-1 (Villa),4300094,Zone_03_(B),Residential (Villa),ZONE 3B (BULK ZONE 3B),L3,6,6,3,4,5,5,5,6,5,3,4,3,4,4,5
Z3-26 (Villa),4300095,Zone_03_(A),Residential (Villa),ZONE 3A (BULK ZONE 3A),L3,10,69,13,21,17,18,13,4,4,3,0,0,0,0,0
Z3-9 (Villa),4300096,Zone_03_(B),Residential (Villa),ZONE 3B (BULK ZONE 3B),L3,68,57,76,32,17,40,38,100,60,57,70,71,67,49,55
Z3-29 (Villa),4300097,Zone_03_(A),Residential (Villa),ZONE 3A (BULK ZONE 3A),L3,12,5,9,12,9,9,7,1,0,2,0,1,0,7,3
Z3-2 (Villa),4300098,Zone_03_(B),Residential (Villa),ZONE 3B (BULK ZONE 3B),L3,111,114,97,110,57,129,113,88,74,89,52,17,6,6,8
Z3-19 (Villa),4300099,Zone_03_(B),Residential (Villa),ZONE 3B (BULK ZONE 3B),L3,38,11,9,16,15,6,6,9,6,5,11,13,138,6,26
Z3-6 (Villa),4300100,Zone_03_(B),Residential (Villa),ZONE 3B (BULK ZONE 3B),L3,34,21,29,32,34,45,49,57,39,49,40,34,31,33,38
Z3-28 (Villa),4300101,Zone_03_(A),Residential (Villa),ZONE 3A (BULK ZONE 3A),L3,32,2,3,21,45,44,45,46,46,59,36,41,44,38,30
Z3-22 (Villa),4300102,Zone_03_(B),Residential (Villa),ZONE 3B (BULK ZONE 3B),L3,24,20,17,19,22,20,36,22,15,20,15,23,32,14,53
Z3-16 (Villa),4300103,Zone_03_(B),Residential (Villa),ZONE 3B (BULK ZONE 3B),L3,43,14,16,10,38,6,1,21,6,2,3,5,1,28,2
Z3-5 (Villa),4300104,Zone_03_(B),Residential (Villa),ZONE 3B (BULK ZONE 3B),L3,52,63,47,58,42,24,68,44,40,34,26,34,40,51,42
Z3-8 (Villa),4300105,Zone_03_(B),Residential (Villa),ZONE 3B (BULK ZONE 3B),L3,56,32,19,15,49,40,38,25,49,68,181,290,83,106,196
Z3-74(1) (Building),4300106,Zone_03_(A),Residential (Apart),D-74 Building Bulk Meter,L3,7,7,0,0,0,0,0,0,0,9,6,1,1,0,0
Z3-49(1) (Building),4300107,Zone_03_(A),Residential (Apart),D-49 Building Bulk Meter,L3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3
Z3-49(2) (Building),4300108,Zone_03_(A),Residential (Apart),D-49 Building Bulk Meter,L3,11,15,7,6,9,11,11,14,12,11,11,12,15,15,12
Z3-50(1) (Building),4300109,Zone_03_(A),Residential (Apart),D-50 Building Bulk Meter,L3,32,32,36,26,35,45,1,43,24,53,32,34,22,26,28
Z3-45(1A) (Building),4300110,Zone_03_(A),Residential (Apart),D-45 Building Bulk Meter,L3,8,0,1,0,0,0,0,1,0,1,1,1,0,1,0
Z3-51(1) (Building),4300111,Zone_03_(A),Residential (Apart),D-51 Building Bulk Meter,L3,12,13,13,11,18,29,1,0,0,1,0,0,0,0,0
Z3-51(2) (Building),4300112,Zone_03_(A),Residential (Apart),D-51 Building Bulk Meter,L3,17,21,20,17,17,19,19,24,24,39,29,29,32,28,31
Z3-45(2A) (Building),4300113,Zone_03_(A),Residential (Apart),D-45 Building Bulk Meter,L3,0,8,2,6,5,0,1,0,0,5,9,2,2,7,9
Z3-050(2) (Building),4300114,Zone_03_(A),Residential (Apart),D-50 Building Bulk Meter,L3,2,3,4,5,2,1,0,3,0,0,2,1,0,8,0
Z3-47(1) (Building),4300115,Zone_03_(A),Residential (Apart),D-47  Building Bulk Meter,L3,0,0,5,0,0,0,0,1,15,13,17,9,9,11,10
Z3-52(1A) (Building),4300116,Zone_03_(B),Residential (Apart),D-52 Building Bulk Meter,L3,5,6,4,4,4,5,5,6,8,14,16,17,19,14,5
Z3-48(1) (Building),4300117,Zone_03_(A),Residential (Apart),D-48 Building Bulk Meter,L3,0,2,0,0,0,0,1,0,0,1,28,8,3,5,4
Z3-74(2) (Building),4300118,Zone_03_(A),Residential (Apart),D-74 Building Bulk Meter,L3,0,0,0,0,6,18,11,0,0,1,0,0,0,0,0
Z3-62(2) (Building),4300119,Zone_03_(B),Residential (Apart),D-62 Building Bulk Meter,L3,0,1,0,16,10,9,7,17,10,14,5,17,7,10,8
Z3-58(5) (Building),4300120,Zone_03_(B),Residential (Apart),D-58 Building Bulk Meter,L3,79,43,12,31,32,32,22,29,25,36,29,29,29,23,32
Z3-51(3) (Building),4300121,Zone_03_(A),Residential (Apart),D-51 Building Bulk Meter,L3,7,5,6,20,24,4,6,8,9,11,14,12,13,10,9
Z3-75(2) (Building),4300122,Zone_03_(A),Residential (Apart),D-75 Building Bulk Meter,L3,3,2,2,1,2,5,19,7,0,0,12,5,7,7,9
Z3-48(2) (Building),4300123,Zone_03_(A),Residential (Apart),D-48 Building Bulk Meter,L3,0,2,2,3,5,2,8,3,4,11,2,5,3,0,4
Z3-62(3) (Building),4300124,Zone_03_(B),Residential (Apart),D-62 Building Bulk Meter,L3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Z3-74(4) (Building),4300125,Zone_03_(A),Residential (Apart),D-74 Building Bulk Meter,L3,7,17,23,27,33,29,28,24,3,0,0,0,0,2,0
D 52-Building Common Meter,4300126,Zone_03_(B),D_Building_Common,D-52 Building Bulk Meter,L3,4,3,2,2,0,1,1,1,1,2,1,1,1,1,2
Z3-51(4) (Building),4300127,Zone_03_(A),Residential (Apart),D-51 Building Bulk Meter,L3,20,15,13,12,9,12,11,11,9,15,9,9,11,9,12
Z3-051(5) (Building),4300128,Zone_03_(A),Residential (Apart),D-51 Building Bulk Meter,L3,3,0,61,0,2,4,5,8,0,0,1,1,2,5,19
Z3-62(4) (Building),4300129,Zone_03_(B),Residential (Apart),D-62 Building Bulk Meter,L3,12,8,28,39,28,21,39,49,33,2,0,2,0,0,0
Z3-58(3B) (Building),4300130,Zone_03_(B),Residential (Apart),D-58 Building Bulk Meter,L3,0,0,0,0,0,3,2,6,1,9,6,6,6,6,3
Z3-48(4) (Building),4300131,Zone_03_(A),Residential (Apart),D-48 Building Bulk Meter,L3,13,17,14,16,2,2,7,0,0,3,4,3,5,5,5
Z3-058(4B) (Building),4300132,Zone_03_(B),Residential (Apart),D-58 Building Bulk Meter,L3,20,7,6,4,4,5,3,5,7,5,7,4,9,8,4
Z3-62(5) (Building),4300133,Zone_03_(B),Residential (Apart),D-62 Building Bulk Meter,L3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Z3-51(6) (Building),4300134,Zone_03_(A),Residential (Apart),D-51 Building Bulk Meter,L3,6,0,0,9,3,4,10,4,3,9,9,18,8,2,5
D 45-Building Common Meter,4300135,Zone_03_(A),D_Building_Common,D-45 Building Bulk Meter,L3,3,3,2,1,1,1,1,0,1,1,1,1,0,1,1
D 50-Building Common Meter,4300136,Zone_03_(A),D_Building_Common,D-50 Building Bulk Meter,L3,3,5,1,2,0,1,1,1,0,2,1,0,1,1,1
D 51-Building Common Meter,4300137,Zone_03_(A),D_Building_Common,D-51 Building Bulk Meter,L3,4,3,2,2,1,3,1,1,1,1,2,1,1,0,1
D 46-Building Common Meter,4300138,Zone_03_(A),D_Building_Common,D-46 Building Bulk Meter,L3,3,5,2,1,51,0,1,1,0,1,0,1,1,0,1
D 74-Building Common Meter,4300139,Zone_03_(A),D_Building_Common,D-74 Building Bulk Meter,L3,3,3,2,1,2,0,1,1,0,2,1,1,0,1,1
D 49-Building Common Meter,4300140,Zone_03_(A),D_Building_Common,D-49 Building Bulk Meter,L3,3,4,1,2,1,1,1,1,0,1,1,1,0,1,2
D 48-Building Common Meter,4300141,Zone_03_(A),D_Building_Common,D-48 Building Bulk Meter,L3,3,4,1,2,1,1,1,0,0,1,0,1,0,1,0
D 62-Building Common Meter,4300142,Zone_03_(B),D_Building_Common,D-62 Building Bulk Meter,L3,4,4,2,3,1,1,2,0,1,0,0,0,0,0,0
D 47-Building Common Meter,4300143,Zone_03_(A),D_Building_Common,D-47  Building Bulk Meter,L3,4,5,2,1,1,1,1,1,1,1,1,1,1,0,0
D 44-Building Common Meter,4300144,Zone_03_(A),D_Building_Common,D-44 Building Bulk Meter,L3,3,4,2,1,1,1,1,1,0,2,1,1,1,1,0
D 75-Building Common Meter,4300145,Zone_03_(A),D_Building_Common,D-75 Building Bulk Meter,L3,4,5,2,2,2,1,2,2,2,7,6,2,3,4,3
Z5-5,4300146,Zone_05,Residential (Villa),ZONE 5 (Bulk Zone 5),L3,1,2,0,3,1,8,3,0,2,13,4,3,3,6,2
Z5-30,4300147,Zone_05,Residential (Villa),ZONE 5 (Bulk Zone 5),L3,0,1,3,53,10,1,0,17,17,4,6,60,65,87,71
Z5-2,4300148,Zone_05,Residential (Villa),ZONE 5 (Bulk Zone 5),L3,2,2,0,0,3,3,1,1,0,0,0,0,0,0,0
Z5-10,4300149,Zone_05,Residential (Villa),ZONE 5 (Bulk Zone 5),L3,0,0,0,0,0,0,0,0,6,3,0,4,37,0,0
Z5-4,4300150,Zone_05,Residential (Villa),ZONE 5 (Bulk Zone 5),L3,54,40,98,36,30,52,110,85,32,38,86,100,81,98,35
Z5-6,4300151,Zone_05,Residential (Villa),ZONE 5 (Bulk Zone 5),L3,1,0,1,0,0,0,0,0,5,12,5,2,6,3,10
Z5 020,4300152,Zone_05,Residential (Villa),ZONE 5 (Bulk Zone 5),L3,26,13,13,20,18,34,51,3,1,0,28,24,25,30,147
Z5-23,4300153,Zone_05,Residential (Villa),ZONE 5 (Bulk Zone 5),L3,0,0,0,5,6,56,1,0,4,11,3,0,0,22,19
Z5-15,4300154,Zone_05,Residential (Villa),ZONE 5 (Bulk Zone 5),L3,39,33,33,27,41,60,47,40,36,51,40,37,35,19,16
Z5-9,4300155,Zone_05,Residential (Villa),ZONE 5 (Bulk Zone 5),L3,72,97,84,96,158,82,70,74,95,134,94,56,38,49,40
Z5-26,4300156,Zone_05,Residential (Villa),ZONE 5 (Bulk Zone 5),L3,0,0,0,0,0,0,0,2,0,12,18,25,61,41,16
Z5-25,4300157,Zone_05,Residential (Villa),ZONE 5 (Bulk Zone 5),L3,0,0,0,0,0,0,0,0,24,20,37,18,37,24,10
Z5-31,4300158,Zone_05,Residential (Villa),ZONE 5 (Bulk Zone 5),L3,7,20,0,0,0,0,189,68,61,0,0,14,33,24,14
Z5-33,4300159,Zone_05,Residential (Villa),ZONE 5 (Bulk Zone 5),L3,0,7,3,3,0,0,0,1,18,3,0,0,2,0,24
Z5-29,4300160,Zone_05,Residential (Villa),ZONE 5 (Bulk Zone 5),L3,0,0,0,0,0,0,0,1,0,68,15,21,49,66,21
Z5-28,4300161,Zone_05,Residential (Villa),ZONE 5 (Bulk Zone 5),L3,0,0,0,0,0,0,0,40,0,90,16,11,50,21,9
Z5-32,4300162,Zone_05,Residential (Villa),ZONE 5 (Bulk Zone 5),L3,0,2,2,3,0,0,0,1,47,1,3,1,59,119,71
Z5-22,4300163,Zone_05,Residential (Villa),ZONE 5 (Bulk Zone 5),L3,89,32,38,10,36,17,21,39,0,18,25,28,15,40,186
Z5-7,4300164,Zone_05,Residential (Villa),ZONE 5 (Bulk Zone 5),L3,2,2,1,2,2,6,2,0,2,0,0,0,0,26,14
Z5-27,4300165,Zone_05,Residential (Villa),ZONE 5 (Bulk Zone 5),L3,0,0,0,0,0,0,0,0,12,9,9,11,36,13,19
Z5-12,4300166,Zone_05,Residential (Villa),ZONE 5 (Bulk Zone 5),L3,59,78,49,39,89,105,90,90,84,112,89,71,44,47,40
Z5 024,4300167,Zone_05,Residential (Villa),ZONE 5 (Bulk Zone 5),L3,19,2,0,30,1,1,1,0,0,3,4,39,68,1,0
Z5 016,4300168,Zone_05,Residential (Villa),ZONE 5 (Bulk Zone 5),L3,306,64,6,10,34,118,363,347,16,85,67,57,27,29,37
Z5-21,4300169,Zone_05,Residential (Villa),ZONE 5 (Bulk Zone 5),L3,2,0,0,1,1,0,3,1,0,5,13,23,25,22,34
Z5-3,4300170,Zone_05,Residential (Villa),ZONE 5 (Bulk Zone 5),L3,1,1,0,0,1,5,24,28,68,116,205,141,149,86,67
Z5 019,4300171,Zone_05,Residential (Villa),ZONE 5 (Bulk Zone 5),L3,4,9,6,8,9,14,8,9,8,12,6,7,5,7,6
