Meter NameAcct #LabelZoneParent MeterTypeJan-24Feb-24Mar-24Apr-24May-24Jun-24Jul-24Aug-24Sep-24Oct-24Nov-24Dec-24
Z3-48(3) (Building)4300040L4Zone_03_(A)D-48 Building Bulk MeterResidential (Apart)88787348710103
Z3-48(6) (Building)4300041L4Zone_03_(A)D-48 Building Bulk MeterResidential (Apart)10000351001010
Z3-52(3) (Building)4300042L4Zone_03_(B)D-52 Building Bulk MeterResidential (Apart)111010128986
Z3-46(4) (Building)4300043L4Zone_03_(A)D-46 Building Bulk MeterResidential (Apart)111111001310
Z3-41 (Villa)4300044L3Zone_03_(A)ZONE 3A (BULK ZONE 3A)Residential (Villa)50382620906612819258534422
Z3 074(5)4300045L4Zone_03_(A)D-74 Building Bulk MeterResidential (Apart)1025576575457
Z3 074(6)4300046L4Zone_03_(A)D-74 Building Bulk MeterResidential (Apart)3212613923021266
Z3-50(3) (Building)4300047L4Zone_03_(A)D-50 Building Bulk MeterResidential (Apart)287634455997
Z3-48(5) (Building)4300048L4Zone_03_(A)D-48 Building Bulk MeterResidential (Apart)00000024243316
Z3-37 (Villa)4300049L3Zone_03_(A)ZONE 3A (BULK ZONE 3A)Residential (Villa)1201005130113
Z3-43 (Villa)4300050L3Zone_03_(A)ZONE 3A (BULK ZONE 3A)Residential (Villa)796750627275498376917770
Z3-47(6) (Building)4300051L4Zone_03_(A)D-47 Building Bulk MeterResidential (Apart)1819271510126616132327
Z3-31 (Villa)4300052L3Zone_03_(A)ZONE 3A (BULK ZONE 3A)Residential (Villa)115105868114013515125822237164176
Z3-49(5) (Building)4300053L4Zone_03_(A)D-49 Building Bulk MeterResidential (Apart)3611200211000
Z3 062(6)4300054L4Zone_03_(B)D-62 Building Bulk MeterResidential (Apart)1214151430000001
Z3 075(5)4300055L4Zone_03_(A)D-75 Building Bulk MeterResidential (Apart)0011891181012272214
Z3-52(5) (Building)4300056L4Zone_03_(B)D-52 Building Bulk MeterResidential (Apart)1356479656434
Z3-15 (Villa)4300057L3Zone_03_(B)ZONE 3B (BULK ZONE 3B)Residential (Villa)533932313445433137453636
Z5-134300058L3Zone_05ZONE 5 (Bulk Zone 5)Residential (Villa)78739461783408061566885
Z5-144300059L3Zone_05ZONE 5 (Bulk Zone 5)Residential (Villa)685652250128100122022226272
Z3-14 (Villa)4300060L3Zone_03_(B)ZONE 3B (BULK ZONE 3B)Residential (Villa)5545425766273111162730173
Z3-49(6) (Building)4300061L4Zone_03_(A)D-49 Building Bulk MeterResidential (Apart)34261615163416410362526
Z3 062(1)4300062L4Zone_03_(B)D-62 Building Bulk MeterResidential (Apart)0300419001921
Z3 075(6)4300063L4Zone_03_(A)D-75 Building Bulk MeterResidential (Apart)523921172424202419244034
Z3-53(4B) (Building)4300064L4Zone_03_(B)D-53 Building Bulk MeterResidential (Apart)000000000000
Z3-60(1B) (Building)4300065L4Zone_03_(B)D-60 Building Bulk MeterResidential (Apart)12910897111010151214
Z3-59(4B) (Building)4300066L4Zone_03_(B)D-59 Building Bulk MeterResidential (Apart)10891088881101
Z3-60(3B) (Building)4300067L4Zone_03_(B)D-60 Building Bulk MeterResidential (Apart)000000000000
Z3-60(4B) (Building)4300068L4Zone_03_(B)D-60 Building Bulk MeterResidential (Apart)744365544400
Z3-52(2) (Building)4300069L4Zone_03_(B)D-52 Building Bulk MeterResidential (Apart)100000000202
Z3-58(1B) (Building)4300070L4Zone_03_(B)D-58 Building Bulk MeterResidential (Apart)891102212211
Z3-55(1B) (Building)4300071L4Zone_03_(B)D-55 Building Bulk MeterResidential (Apart)223000010034
Z3-60(2B) (Building)4300072L4Zone_03_(B)D-60 Building Bulk MeterResidential (Apart)120101000124
Z3-59(3A) (Building)4300073L4Zone_03_(B)D-59 Building Bulk MeterResidential (Apart)000000000000
Z3-53(6) (Building)4300074L4Zone_03_(B)D-53 Building Bulk MeterResidential (Apart)003100001100
Z3-35 (Villa)4300075L3Zone_03_(A)ZONE 3A (BULK ZONE 3A)Residential (Villa)827877679154587078928369
Z3-12 (Villa)4300076L3Zone_03_(B)ZONE 3B (BULK ZONE 3B)Residential (Villa)52952585567111931201181785567
Z3-11 (Villa)4300077L3Zone_03_(B)ZONE 3B (BULK ZONE 3B)Residential (Villa)020010000000
Z3-4 (Villa)4300078L3Zone_03_(B)ZONE 3B (BULK ZONE 3B)Residential (Villa)10590961061261221561509717156111
Z3-40 (Villa)4300079L3Zone_03_(A)ZONE 3A (BULK ZONE 3A)Residential (Villa)261825192619121012362020
Z3-17 (Villa)4300080L3Zone_03_(B)ZONE 3B (BULK ZONE 3B)Residential (Villa)115851419182214241720
Z3-30 (Villa)4300081L3Zone_03_(A)ZONE 3A (BULK ZONE 3A)Residential (Villa)1614192698800110
Z3-33 (Villa)4300082L3Zone_03_(A)ZONE 3A (BULK ZONE 3A)Residential (Villa)783243365268606047765245
Z3-18 (Villa)4300083L3Zone_03_(B)ZONE 3B (BULK ZONE 3B)Residential (Villa)624336564763596746584231
Z3-36 (Villa)4300084L3Zone_03_(A)ZONE 3A (BULK ZONE 3A)Residential (Villa)13112244856861587210211593
Z3-32 (Villa)4300085L3Zone_03_(A)ZONE 3A (BULK ZONE 3A)Residential (Villa)19253229130303138574430
Z3-39 (Villa)4300086L3Zone_03_(A)ZONE 3A (BULK ZONE 3A)Residential (Villa)673335402751243835473437
Z3 0344300087L3Zone_03_(A)ZONE 3A (BULK ZONE 3A)Residential (Villa)1129301400000031
Z3-3 (Villa)4300088L3Zone_03_(B)ZONE 3B (BULK ZONE 3B)Residential (Villa)786680918484836167786986
Z3 0274300089L3Zone_03_(A)ZONE 3A (BULK ZONE 3A)Residential (Villa)0000805040859
Z3-7 (Villa)4300090L3Zone_03_(B)ZONE 3B (BULK ZONE 3B)Residential (Villa)272314213046234324503431
Z3 0244300091L3Zone_03_(A)ZONE 3A (BULK ZONE 3A)Residential (Villa)1081071576745415
Z3-10 (Villa)4300092L3Zone_03_(B)ZONE 3B (BULK ZONE 3B)Residential (Villa)373231354734405641603337
Z3-25 (Villa)4300093L3Zone_03_(A)ZONE 3A (BULK ZONE 3A)Residential (Villa)15129925111560000
Z3 0014300094L3Zone_03_(B)ZONE 3B (BULK ZONE 3B)Residential (Villa)663455565343
Z3-26 (Villa)4300095L3Zone_03_(A)ZONE 3A (BULK ZONE 3A)Residential (Villa)1069132117181344300
Z3-9 (Villa)4300096L3Zone_03_(B)ZONE 3B (BULK ZONE 3B)Residential (Villa)6857763217403810060577071
Z3-29 (Villa)4300097L3Zone_03_(A)ZONE 3A (BULK ZONE 3A)Residential (Villa)12591299710201
Z3-2 (Villa)4300098L3Zone_03_(B)ZONE 3B (BULK ZONE 3B)Residential (Villa)11111497110571291138874895217
Z3-19 (Villa)4300099L3Zone_03_(B)ZONE 3B (BULK ZONE 3B)Residential (Villa)381191615669651113
Z3-6 (Villa)4300100L3Zone_03_(B)ZONE 3B (BULK ZONE 3B)Residential (Villa)342129323445495739494034
Z3-28 (Villa)4300101L3Zone_03_(A)ZONE 3A (BULK ZONE 3A)Residential (Villa)3223214544454646593641
Z3-22 (Villa)4300102L3Zone_03_(B)ZONE 3B (BULK ZONE 3B)Residential (Villa)242017192220362215201523
Z3 0164300103L3Zone_03_(B)ZONE 3B (BULK ZONE 3B)Residential (Villa)431416103861216235
Z3-5 (Villa)4300104L3Zone_03_(B)ZONE 3B (BULK ZONE 3B)Residential (Villa)526347584224684440342634
Z3-8 (Villa)4300105L3Zone_03_(B)ZONE 3B (BULK ZONE 3B)Residential (Villa)56321915494038254968181290
Z3 074(1)4300106L4Zone_03_(A)D-74 Building Bulk MeterResidential (Apart)770000000961
Z3-49(1) (Building)4300107L4Zone_03_(A)D-49 Building Bulk MeterResidential (Apart)000000000000
Z3-49(2) (Building)4300108L4Zone_03_(A)D-49 Building Bulk MeterResidential (Apart)111576911111412111112
Z3-50(1) (Building)4300109L4Zone_03_(A)D-50 Building Bulk MeterResidential (Apart)32323626354514324533234
Z3-45(1) (Building)4300110L4Zone_03_(A)D-45 Building Bulk MeterResidential (Apart)801000010111
Z3-51(1) (Building)4300111L4Zone_03_(A)D-51 Building Bulk MeterResidential (Apart)121313111829100100
Z3-51(2) (Building)4300112L4Zone_03_(A)D-51 Building Bulk MeterResidential (Apart)172120171719192424392929
Z3-45(2) (Building)4300113L4Zone_03_(A)D-45 Building Bulk MeterResidential (Apart)082650100592
Z3-50(2) (Building)4300114L4Zone_03_(A)D-50 Building Bulk MeterResidential (Apart)234521030021
Z3-47(1) (Building)4300115L4Zone_03_(A)D-47 Building Bulk MeterResidential (Apart)005000011513179
Z3-52(1) (Building)4300116L4Zone_03_(B)D-52 Building Bulk MeterResidential (Apart)564445568141617
Z3-48(1) (Building)4300117L4Zone_03_(A)D-48 Building Bulk MeterResidential (Apart)0200001001288
Z3 074(2)4300118L4Zone_03_(A)D-74 Building Bulk MeterResidential (Apart)00006181100100
Z3 062(2)4300119L4Zone_03_(B)D-62 Building Bulk MeterResidential (Apart)010161097171014517
Z3-58(5) (Building)4300120L4Zone_03_(B)D-58 Building Bulk MeterResidential (Apart)794312313232222925362929
Z3-51(3) (Building)4300121L4Zone_03_(A)D-51 Building Bulk MeterResidential (Apart)75620244689111412
Z3 075(2)4300122L4Zone_03_(A)D-75 Building Bulk MeterResidential (Apart)32212519700125
Z3-48(2) (Building)4300123L4Zone_03_(A)D-48 Building Bulk MeterResidential (Apart)0223528341125
Z3 062(3)4300124L4Zone_03_(B)D-62 Building Bulk MeterResidential (Apart)000100000000
Z3 074(4)4300125L4Zone_03_(A)D-74 Building Bulk MeterResidential (Apart)7172327332928243000
Common Meter4300126L4Zone_03_(B)D-52 Building Bulk MeterD_Building_Common432201111211
Z3-51(4) (Building)4300127L4Zone_03_(A)D-51 Building Bulk MeterResidential (Apart)20151312912111191599
Z3 051(5)4300128L4Zone_03_(A)D-51 Building Bulk MeterResidential (Apart)3061024580011
Z3-62(4) (Building)4300129L4Zone_03_(B)D-62 Building Bulk MeterResidential (Apart)12828392821394933202
Z3-58(3B) (Building)4300130L4Zone_03_(B)D-58 Building Bulk MeterResidential (Apart)000003261966
Z3-48(4) (Building)4300131L4Zone_03_(A)D-48 Building Bulk MeterResidential (Apart)1317141622700343
Z3-58(4B) (Building)4300132L4Zone_03_(B)D-58 Building Bulk MeterResidential (Apart)2076445357574
Z3 062(5)4300133L4Zone_03_(B)D-62 Building Bulk MeterResidential (Apart)000000000000
Z3-51(6) (Building)4300134L4Zone_03_(A)D-51 Building Bulk MeterResidential (Apart)60093410439918
Common Meter4300135L4Zone_03_(A)D-45 Building Bulk MeterD_Building_Common332111101111
Common Meter4300136L4Zone_03_(A)D-50 Building Bulk MeterD_Building_Common351201110210
Common Meter4300137L4Zone_03_(A)D-51 Building Bulk MeterD_Building_Common432213111121
Common Meter4300138L4Zone_03_(A)D-46 Building Bulk MeterD_Building_Common3521510110101
Common Meter4300139L4Zone_03_(A)D-74 Building Bulk MeterD_Building_Common332120110211
Common Meter4300140L4Zone_03_(A)D-49 Building Bulk MeterD_Building_Common341211110111
Common Meter4300141L4Zone_03_(A)D-48 Building Bulk MeterD_Building_Common341211100101
Common Meter4300142L4Zone_03_(B)D-62 Building Bulk MeterD_Building_Common442311201000
Common Meter4300143L4Zone_03_(A)D-47 Building Bulk MeterD_Building_Common452111111111
Common Meter4300144L4Zone_03_(A)D-44 Building Bulk MeterD_Building_Common342111110211
Common Meter4300145L4Zone_03_(A)D-75 Building Bulk MeterD_Building_Common452221222762
Z5 0054300146L3Zone_05ZONE 5 (Bulk Zone 5)Residential (Villa)1203183021343
Z5 0304300147L3Zone_05ZONE 5 (Bulk Zone 5)Residential (Villa)01353101017174660
Z5-24300148L3Zone_05ZONE 5 (Bulk Zone 5)Residential (Villa)220033110000
Z5 0104300149L3Zone_05ZONE 5 (Bulk Zone 5)Residential (Villa)000000006304
Z5-44300150L3Zone_05ZONE 5 (Bulk Zone 5)Residential (Villa)54409836305211085323886100
Z5 0064300151L3Zone_05ZONE 5 (Bulk Zone 5)Residential (Villa)1010000051252
Z5-204300152L3Zone_05ZONE 5 (Bulk Zone 5)Residential (Villa)261313201834513102824
Z5 0234300153L3Zone_05ZONE 5 (Bulk Zone 5)Residential (Villa)00056561041130
Z5-154300154L3Zone_05ZONE 5 (Bulk Zone 5)Residential (Villa)393333274160474036514037
Z5-94300155L3Zone_05ZONE 5 (Bulk Zone 5)Residential (Villa)72978496158827074951349456
Z5-264300156L3Zone_05ZONE 5 (Bulk Zone 5)Residential (Villa)000000020121825
Z5-254300157L3Zone_05ZONE 5 (Bulk Zone 5)Residential (Villa)0000000024203718
Z5 0314300158L3Zone_05ZONE 5 (Bulk Zone 5)Residential (Villa)720000018968610014
Z5 0334300159L3Zone_05ZONE 5 (Bulk Zone 5)Residential (Villa)0733000118300
Z5-294300160L3Zone_05ZONE 5 (Bulk Zone 5)Residential (Villa)000000010681521
Z5-284300161L3Zone_05ZONE 5 (Bulk Zone 5)Residential (Villa)0000000400901611
Z5 0324300162L3Zone_05ZONE 5 (Bulk Zone 5)Residential (Villa)0223000147131
Z5 0224300163L3Zone_05ZONE 5 (Bulk Zone 5)Residential (Villa)89323810361721390182528
Z5-74300164L3Zone_05ZONE 5 (Bulk Zone 5)Residential (Villa)221226202000
Z5-274300165L3Zone_05ZONE 5 (Bulk Zone 5)Residential (Villa)00000000129911
Z5-124300166L3Zone_05ZONE 5 (Bulk Zone 5)Residential (Villa)59784939891059090841128971
Z5 0244300167L3Zone_05ZONE 5 (Bulk Zone 5)Residential (Villa)192030111003439
Z5-164300168L3Zone_05ZONE 5 (Bulk Zone 5)Residential (Villa)306646103411836334716856757
Z5-214300169L3Zone_05ZONE 5 (Bulk Zone 5)Residential (Villa)20011031051323
Z5 0034300170L3Zone_05ZONE 5 (Bulk Zone 5)Residential (Villa)110015242868116205141
Z5-194300171L3Zone_05ZONE 5 (Bulk Zone 5)Residential (Villa)49689148981267
Z5 0014300172L3Zone_05ZONE 5 (Bulk Zone 5)Residential (Villa)03874301688855
Z5 0114300173L3Zone_05ZONE 5 (Bulk Zone 5)Residential (Villa)15610241315163450657168
Z5-184300174L3Zone_05ZONE 5 (Bulk Zone 5)Residential (Villa)51311101226101535232318
Z5-84300175L3Zone_05ZONE 5 (Bulk Zone 5)Residential (Villa)000001131305
D-75 Building Bulk Meter4300176L3Zone_03_(A)ZONE 3A (BULK ZONE 3A)D_Building_Bulk645647364855594360608475
D-74 Building Bulk Meter4300177L3Zone_03_(A)ZONE 3A (BULK ZONE 3A)D_Building_Bulk114130595386682275837473633
D-44 Building Bulk Meter4300178L3Zone_03_(A)ZONE 3A (BULK ZONE 3A)D_Building_Bulk23219320117583190232185264316257193
D-45 Building Bulk Meter4300179L3Zone_03_(A)ZONE 3A (BULK ZONE 3A)D_Building_Bulk202810462326251921373121
D-46 Building Bulk Meter4300180L3Zone_03_(A)ZONE 3A (BULK ZONE 3A)D_Building_Bulk475635445453535546643860
D-47 Building Bulk Meter4300181L3Zone_03_(A)ZONE 3A (BULK ZONE 3A)D_Building_Bulk6812193605646564686797179
D-48 Building Bulk Meter4300182L3Zone_03_(A)ZONE 3A (BULK ZONE 3A)D_Building_Bulk113321121513282115767043
D-49 Building Bulk Meter4300183L3Zone_03_(A)ZONE 3A (BULK ZONE 3A)D_Building_Bulk816648649317323424204249
D-50 Building Bulk Meter4300184L3Zone_03_(A)ZONE 3A (BULK ZONE 3A)D_Building_Bulk69768268829253104641177884
D-51 Building Bulk Meter4300185L3Zone_03_(A)ZONE 3A (BULK ZONE 3A)D_Building_Bulk7668131878798636552765979
D-52 Building Bulk Meter4300186L3Zone_03_(B)ZONE 3B (BULK ZONE 3B)D_Building_Bulk5247414545613168347474339
D-62 Building Bulk Meter4300187L3Zone_03_(B)ZONE 3B (BULK ZONE 3B)D_Building_Bulk29304526422642644124921
Z8 0014300188L3Zone_08BULK ZONE 8Residential (Villa)000000000000
Z8-24300189L3Zone_08BULK ZONE 8Residential (Villa)000000000000
Z8-34300190L3Zone_08BULK ZONE 8Residential (Villa)000000000000
Z8 0044300191L3Zone_08BULK ZONE 8Residential (Villa)000000000000
Z8 0064300192L3Zone_08BULK ZONE 8Residential (Villa)000000000300
Z8 0074300193L3Zone_08BULK ZONE 8Residential (Villa)000000000000
Z8 0084300194L3Zone_08BULK ZONE 8Residential (Villa)000000000000
Z8 0104300195L3Zone_08BULK ZONE 8Residential (Villa)000000000000
Z8-124300196L3Zone_08BULK ZONE 8Residential (Villa)109148169235180235237442661417223287
Z8-144300197L3Zone_08BULK ZONE 8Residential (Villa)000000000000
Z8-154300198L3Zone_08BULK ZONE 8Residential (Villa)22774901451791001361521448710090
Z8 0164300199L3Zone_08BULK ZONE 8Residential (Villa)18016552147062113869111210398
Z8-174300200L3Zone_08BULK ZONE 8Residential (Villa)198135213190196138942200191154155
Common Meter4300201L4Zone_03_(B)D-53 Building Bulk MeterD_Building_Common522100111201
Common Meter4300202L4Zone_03_(B)D-54 Building Bulk MeterD_Building_Common524201210211
Common Meter4300203L4Zone_03_(B)D-55 Building Bulk MeterD_Building_Common731210211322
Common Meter4300204L4Zone_03_(B)D-56 Building Bulk MeterD_Building_Common431201222212
Common Meter4300205L4Zone_03_(B)D-57 Building Bulk MeterD_Building_Common421111111211
Common Meter4300206L4Zone_03_(B)D-58 Building Bulk MeterD_Building_Common431110110210
Common Meter4300207L4Zone_03_(B)D-59 Building Bulk MeterD_Building_Common421200110101
Common Meter4300208L4Zone_03_(B)D-60 Building Bulk MeterD_Building_Common432101010110
Common Meter4300209L4Zone_03_(B)D-61 Building Bulk MeterD_Building_Common010010000101
Z3-53(1A) (Building)4300210L4Zone_03_(B)D-53 Building Bulk MeterResidential (Apart)31059975891367
Z3-53(1B) (Building)4300211L4Zone_03_(B)D-53 Building Bulk MeterResidential (Apart)1110441955391212
Z3-53(2A) (Building)4300212L4Zone_03_(B)D-53 Building Bulk MeterResidential (Apart)103000000000
Z3-53(2B) (Building)4300213L4Zone_03_(B)D-53 Building Bulk MeterResidential (Apart)000000000000
Z3-53(3A) (Building)4300214L4Zone_03_(B)D-53 Building Bulk MeterResidential (Apart)884628400000
Z3-53(3B) (Building)4300215L4Zone_03_(B)D-53 Building Bulk MeterResidential (Apart)000000000014
Z3-53(4A) (Building)4300216L4Zone_03_(B)D-53 Building Bulk MeterResidential (Apart)663107025753
Z3 053(5)4300217L4Zone_03_(B)D-53 Building Bulk MeterResidential (Apart)002000000322
Z3-54(1A) (Building)4300218L4Zone_03_(B)D-54 Building Bulk MeterResidential (Apart)1261011161275710914
Z3-54(1B) (Building)4300219L4Zone_03_(B)D-54 Building Bulk MeterResidential (Apart)001021101021
Z3-54(2A) (Building)4300220L4Zone_03_(B)D-54 Building Bulk MeterResidential (Apart)2430031621243
Z3-54(2B) (Building)4300221L4Zone_03_(B)D-54 Building Bulk MeterResidential (Apart)8885109724151819
Z3-54(3A) (Building)4300222L4Zone_03_(B)D-54 Building Bulk MeterResidential (Apart)89779688710106
Z3-54(3B) (Building)4300223L4Zone_03_(B)D-54 Building Bulk MeterResidential (Apart)0569100003111
Z3-54(4A) (Building)4300224L4Zone_03_(B)D-54 Building Bulk MeterResidential (Apart)030000430042
Z3-54(4B) (Building)4300225L4Zone_03_(B)D-54 Building Bulk MeterResidential (Apart)001213000010
Z3-54(5) (Building)4300226L4Zone_03_(B)D-54 Building Bulk MeterResidential (Apart)182018212121181719211616
Z3 054(6)4300227L4Zone_03_(B)D-54 Building Bulk MeterResidential (Apart)1127212000203
Z3-55(1A) (Building)4300228L4Zone_03_(B)D-55 Building Bulk MeterResidential (Apart)004110140000
Z3-55(2A) (Building)4300229L4Zone_03_(B)D-55 Building Bulk MeterResidential (Apart)262319232525272416242124
Z3-55(2B) (Building)4300230L4Zone_03_(B)D-55 Building Bulk MeterResidential (Apart)244752662354
Z3-55(3A) (Building)4300231L4Zone_03_(B)D-55 Building Bulk MeterResidential (Apart)12102291811101211
Z3-55(3B) (Building)4300232L4Zone_03_(B)D-55 Building Bulk MeterResidential (Apart)156638268863
Z3-55(4A) (Building)4300233L4Zone_03_(B)D-55 Building Bulk MeterResidential (Apart)878106141171085
Z3-55(4B) (Building)4300234L4Zone_03_(B)D-55 Building Bulk MeterResidential (Apart)9810871142545
Z3 055(5)4300235L4Zone_03_(B)D-55 Building Bulk MeterResidential (Apart)200000000011
Z3-55(6) (Building)4300236L4Zone_03_(B)D-55 Building Bulk MeterResidential (Apart)4641335066721621441204
Z3-56(1A) (Building)4300237L4Zone_03_(B)D-56 Building Bulk MeterResidential (Apart)58344321143174
Z3-56(1B) (Building)4300238L4Zone_03_(B)D-56 Building Bulk MeterResidential (Apart)000000000100
Z3-56(2A) (Building)4300239L4Zone_03_(B)D-56 Building Bulk MeterResidential (Apart)10164310000022
Z3-56(2B) (Building)4300240L4Zone_03_(B)D-56 Building Bulk MeterResidential (Apart)533921000259
Z3 056(3A)4300241L4Zone_03_(B)D-56 Building Bulk MeterResidential (Apart)000000000000
Z3 056(3B4300242L4Zone_03_(B)D-56 Building Bulk MeterResidential (Apart)110101203000000
Z3-56(4A) (Building)4300243L4Zone_03_(B)D-56 Building Bulk MeterResidential (Apart)015001318160000
Z3-56(4B) (Building)4300244L4Zone_03_(B)D-56 Building Bulk MeterResidential (Apart)000002481232
Z3 056(5)4300245L4Zone_03_(B)D-56 Building Bulk MeterResidential (Apart)074702110501
Z3 056(6)4300246L4Zone_03_(B)D-56 Building Bulk MeterResidential (Apart)0035174241713610
Z3-57(1A) (Building)4300247L4Zone_03_(B)D-57 Building Bulk MeterResidential (Apart)633260244527
Z3-57(1B) (Building)4300248L4Zone_03_(B)D-57 Building Bulk MeterResidential (Apart)1104011000003
Z3-57(2A) (Building)4300249L4Zone_03_(B)D-57 Building Bulk MeterResidential (Apart)544454365754
Z3-57(2B) (Building)4300250L4Zone_03_(B)D-57 Building Bulk MeterResidential (Apart)520300000123
Z3-57(3A) (Building)4300251L4Zone_03_(B)D-57 Building Bulk MeterResidential (Apart)76772414565555
Z3-57(3B) (Building)4300252L4Zone_03_(B)D-57 Building Bulk MeterResidential (Apart)110100100010
Z3-57(4A) (Building)4300253L4Zone_03_(B)D-57 Building Bulk MeterResidential (Apart)000001000010
Z3-57(4B) (Building)4300254L4Zone_03_(B)D-57 Building Bulk MeterResidential (Apart)020051200303
Z3-57(5) (Building)4300255L4Zone_03_(B)D-57 Building Bulk MeterResidential (Apart)941175920270123329
Z3-57(6) (Building)4300256L4Zone_03_(B)D-57 Building Bulk MeterResidential (Apart)0130020182401510
Z3-58(1A) (Building)4300257L4Zone_03_(B)D-58 Building Bulk MeterResidential (Apart)10124434332323
Z3-58(2A) (Building)4300258L4Zone_03_(B)D-58 Building Bulk MeterResidential (Apart)10801104302201
Z3-58(2B) (Building)4300259L4Zone_03_(B)D-58 Building Bulk MeterResidential (Apart)220025441136
Z3-58(3A) (Building)4300260L4Zone_03_(B)D-58 Building Bulk MeterResidential (Apart)1371000091016102
Z3-58(4A) (Building)4300261L4Zone_03_(B)D-58 Building Bulk MeterResidential (Apart)230102211120
Z3 058(6)4300262L4Zone_03_(B)D-58 Building Bulk MeterResidential (Apart)00100003151611
Z3-59(1A) (Building)4300263L4Zone_03_(B)D-59 Building Bulk MeterResidential (Apart)000000002334
Z3-59(1B) (Building)4300264L4Zone_03_(B)D-59 Building Bulk MeterResidential (Apart)141121320122
